date,depth,light_incub,P_manip
,,358.6,0.6709126456
,,414.7,0.7010141269
,,585.8,0.8400543024
,,924.1,0.6044982662
03-06-2015,25,-0.01,0.0914291855
,,-0.01,0.0933936443
,,-0.01,0.0909380708
,,-0.01,0.0906925135
,,0.57,0.0953581031
,,1.08,0.0870091533
,,2.24,0.0990414633
,,3.09,0.1096004292
,,4.7,0.1319461478
,,5.53,0.1324372625
,,6.83,0.1479073753
,,9.26,0.1665697337
,,12.4,0.1952999433
,,16.54,0.2112611708
,,24.07,0.2409736098
,,45.6,0.4681141558
,,54.71,0.4914421037
,,72.25,0.5668282092
,,84.56,0.5685471107
,,103.18,0.5130511502
,,118.29,0.5228734441
,,157.42,
,,207.2,0.6125018758
,,226.6,0.5648637505
,,287.1,0.6031706966
,,392.5,
,,551.2,0.5329412954
,,865.9,0.4848120553
03-06-2015,30,0,0.0954471399
,,0,0.0946739407
,,0,0.0995708687
,,0,0.0926120763
,,0.7,0.0915811441
,,1.03,0.0920966102
,,2.07,0.1039523306
,,3.04,0.1093647246
,,4.18,0.0951894068
,,5,0.1044677967
,,6.17,0.1165812501
,,9.72,0.146736017
,,11.47,0.1227668433
,,16.41,0.1676123942
,,22.82,0.1779217162
,,45.09,0.1405504238
,,56.25,0.1756021188
,,70.52,0.1431277543
,,80.36,0.1792103815
,,102.1,0.1459628179
,,115.35,0.1557566738
,,163.41,0.1384885594
,,198.08,0.1562721399
,,220.1,0.156787606
,,284.3,0.1459628179
,,383.9,0.2333343222
,,562.4,0.1704474577
,,811.5,0.2714788137
03-06-2015,50,0,0.0812351775
,,0,0.0875715214
,,0,0.0880589325
,,0,0.0817225886
,,0.65,0.0831848218
,,1,0.0868404048
,,2.02,0.0887900491
,,3.16,0.0953700984
,,4,0.0922019265
,,5.04,0.0922019265
,,6.8,0.0946389818
,,9.12,0.110723547
,,11.12,0.1141354245
,,16.81,0.1155976577
,,20.93,0.1175473019
,,42.21,0.1541031318
,,54.91,0.151422371
,,75.54,0.1575150093
,,84.59,0.1577587148
,,102.48,0.1718936357
,,115.99,0.1506912544
,,155.12,0.1521534876
,,201.7,0.1533720152
,,224.4,0.1545905429
,,287.1,0.1572713037
,,377.9,0.1687254638
,,505.7,0.1411867386
,,777.8,
06-06-2015,1,0.02,0.089388923
,,0.02,0.1031280175
,,0.01,0.0934597658
,,0.01,0.1056722942
,,0.86,0.098039464
,,2.02,0.2076977918
,,4.05,0.2870792263
,,6.45,0.3036170251
,,8.98,0.4089500824
,,13.42,0.6249591783
,,19.89,0.8651389032
,,28.96,1.1798659368
,,38.95,1.5192724548
,,58.13,2.3247904729
,,79.57,2.1919792267
,,102.54,2.5148479458
,,133.01,3.1799218875
,,154.93,2.9911365529
,,175.14,2.72118879
,,201.8,3.4702238643
,,250.6,
,,311.4,2.5000911407
,,290.6,2.9382155965
,,382.3,3.7722295142
,,471.5,3.3577668321
,,563,3.4933767827
,,703.3,3.3399568949
,,1094.2,2.920660087
06-06-2015,5,0.03,0.1056626866
,,0.03,0.1014606908
,,0.01,0.0980465692
,,0.01,0.1025111898
,,0.75,0.1019859403
,,1.68,0.1211575462
,,2.97,0.1631775044
,,5.28,0.2606112826
,,8.47,0.4355193587
,,12.72,0.5673569776
,,20.08,0.7714163998
,,27.6,1.0710712269
,,37.6,1.4534528467
,,62.56,2.4642954668
,,82.24,1.8662989363
,,98.69,1.9427227353
,,123.19,2.6533852788
,,154.29,2.0882168407
,,168.25,2.9798278293
,,178.19,2.636052046
,,205.4,3.0964332133
,,222.1,3.7128134756
,,285.2,2.1869637425
,,333.7,4.1159424498
,,394.4,4.1243464414
,,465.4,3.436794875
,,656.7,2.979039955
,,1001.2,3.4856430764
06-06-2015,10,0.02,0.0972178766
,,0.02,0.1011344428
,,0.02,0.0948679369
,,0.02,0.0891236398
,,0.7,0.1256782577
,,1.72,0.1293337194
,,2.88,0.1658883373
,,5.48,0.3063625117
,,8.85,0.3570167679
,,12.68,0.5416175882
,,19.24,0.8348378445
,,30.52,1.249471653
,,38.94,1.659405582
,,60.18,2.188664228
,,77.76,3.0424756599
,,102.8,3.4599816169
,,117.58,3.1722445534
,,150.6,
,,168.32,3.3957499312
,,185.4,3.9900235762
,,198.33,3.3832169194
,,217.5,3.8586880562
,,236.9,
,,296.3,4.2404227086
,,354,
,,408.7,
,,598.2,4.0957708636
,,929.3,3.8983759271
06-06-2015,25,0.01,0.0781560109
,,0,0.0781560109
,,0,0.0881852794
,,0,0.0838482984
,,0.43,0.0827640532
,,0.87,0.0925222604
,,1.89,0.1478187675
,,2.7,0.1789908181
,,4.16,0.2876864033
,,4.99,0.2402506741
,,6.23,0.3039500819
,,8.53,0.2738622765
,,11.37,0.6116046683
,,14.86,0.6969889808
,,22.59,0.9848560917
,,43.67,2.0354897278
,,52.02,2.1791522219
,,68.03,2.8755087263
,,80.73,2.7155825536
,,97.66,3.1381671354
,,113.76,2.7247986382
,,153.47,
,,198.21,4.2126541667
,,225.3,3.1256983151
,,280.7,4.5929531841
,,387.8,
,,553.8,3.4347082081
,,906.5,3.1495517104
06-06-2015,30,0,0.0793046941
,,0.01,-0.0039029535
,,0.01,0.0798029435
,,0.01,0.0778099459
,,0.58,0.0783081953
,,0.87,0.0920100534
,,1.92,0.1214067673
,,2.72,0.1415858674
,,3.67,0.1944003024
,,4.52,0.2252917644
,,5.86,0.298783549
,,9.28,0.4206055241
,,10.8,0.4968376803
,,15.64,0.6687337187
,,20.94,1.2088360541
,,42.7,1.7461980179
,,54.9,2.0381721586
,,74.53,2.1908855957
,,79.27,3.0523587856
,,101.4,2.7673601363
,,113.89,3.648514177
,,164.87,3.1158855824
,,193.87,3.5261939525
,,220.6,3.1978476065
,,290.6,3.1216154503
,,389.4,3.5157307153
,,593.1,3.1632192741
,,842,2.8807118718
06-06-2015,50,0,0.073746909
,,-0.04,0.1021385761
,,-0.03,0.0761575222
,,0,0.080175211
,,0.53,0.0740147549
,,0.89,0.0799073651
,,2.08,0.0874070507
,,2.91,0.0839250538
,,3.58,0.1045491894
,,4.61,0.105888419
,,6.3,0.1366906993
,,8.54,0.1707071307
,,10.54,0.1696357471
,,15.66,0.1551720676
,,19.68,0.2631139719
,,40.49,0.3180223848
,,54.75,0.5470306433
,,77.23,0.5226566649
,,83.43,0.6897925167
,,100.56,0.3914121659
,,113.63,0.5989927511
,,154.35,
,,203.1,
,,231.9,0.6549725476
,,293.3,0.5802435369
,,384.1,0.6873819035
,,513.1,
,,800.3,0.6327413365
11-06-2015,1,0,0.085897067
,,0,0.0856120104
,,0,0.0950188794
,,0,0.0907430299
,,0.96,0.0898878599
,,2.18,0.1007200122
,,4.44,0.0878924635
,,7.06,0.1007200122
,,9.59,0.1146877875
,,14.46,0.1192486937
,,21.33,0.136352092
,,30.43,0.1517451505
,,41.61,0.1620071894
,,60.44,0.1936484763
,,84.14,0.230135726
,,106.11,0.2247196499
,,137.53,0.1945036462
,,161.56,0.1905128533
,,177.94,0.2121771578
,,204.3,0.1873772302
,,256.5,0.2232943667
,,321.8,0.1956438728
,,296,0.2366920287
,,392.5,0.2184484038
,,399.3,
,,569.2,0.2195886304
,,694.1,
,,1082.8,
11-06-2015,5,0,0.0948724524
,,0,0.0948724524
,,-0.01,0.0948724524
,,-0.01,0.0954666431
,,0.8,0.0930898802
,,1.77,0.090416022
,,3.11,0.1037853133
,,5.5,0.1067562669
,,8.85,0.1112126973
,,13.21,0.121611035
,,19.99,0.1311180866
,,28.43,0.1548857156
,,38.69,0.1569653832
,,66.35,0.1819213936
,,82.84,0.1842981565
,,99.82,0.1875662055
,,123.7,0.196181971
,,151.62,0.2036093551
,,165.51,0.2083628809
,,179.53,0.2208408861
,,204.8,0.2544126621
,,222.7,0.256789425
,,281,0.2110367391
,,332.2,
,,393.4,0.2015296875
,,461.5,0.2095512623
,,641.3,0.1935081128
,,1002.9,0.182218489
11-06-2015,10,0.01,0.083073102
,,0,0.0897929661
,,0,0.088039958
,,0,0.088624294
,,0.71,0.088332126
,,1.78,0.0903773021
,,3.03,0.0932989821
,,5.7,0.1044013662
,,9.36,0.1070308782
,,12.95,0.1134585742
,,20.29,0.1266061343
,,30.87,0.1511482465
,,40.37,0.1479343985
,,63.27,0.1806572148
,,79.05,0.1827023908
,,103.82,
,,122.36,
,,157.86,0.1786120388
,,172.84,0.2151330391
,,189.86,0.210166183
,,202.6,0.1835788948
,,222.6,0.1946812789
,,247.8,
,,302.5,
,,364.3,
,,419.4,
,,620.8,
,,955.5,
11-06-2015,35,0.01,0.0806208535
,,0.01,0.0887552446
,,0,0.0819765853
,,0.01,0.092009001
,,0.43,0.0863149272
,,0.89,0.0914667082
,,1.92,0.0906532691
,,2.72,0.0952627574
,,4.14,0.0974319283
,,5.01,0.0879418055
,,6.2,0.097160782
,,8.48,0.1050240267
,,11.37,0.1107181004
,,15.32,0.128071468
,,22.89,0.1389173227
,,45.13,0.1679299841
,,52.61,0.1644050813
,,69.55,0.1630493495
,,82.87,0.1841987662
,,100.18,0.1950446209
,,116.56,0.1795892779
,,157.67,0.1820295952
,,198.53,0.1953157673
,,230.6,0.1839276198
,,283.4,
,,397.5,
,,548.1,
,,927.7,0.1942311818
11-06-2015,50,-0.01,0.0842143108
,,-0.01,0.0892850663
,,0.01,0.0833194716
,,0.01,0.0877936676
,,0.56,0.0904781852
,,0.86,0.0868988284
,,1.92,0.0958472204
,,2.72,0.1110594867
,,3.71,0.0889867865
,,4.55,0.1238855151
,,5.81,
,,9.4,0.1071818502
,,10.68,
,,15.44,0.134027026
,,21.48,0.1322373476
,,42.7,0.1569945653
,,53.54,0.1569945653
,,72.9,0.1751896289
,,78.11,0.1713119924
,,99.78,0.1656446775
,,112.68,0.1865242587
,,162.01,0.1707154329
,,187.12,0.1713119924
,,215.9,0.1593808032
,,277,0.1787689857
,,370.2,0.1713119924
,,572.4,0.166241237
,,826,0.1611704815
11-06-2015,75,0,
,,-0.01,0.0672232059
,,-0.01,0.0730380573
,,0,0.0733023687
,,0.53,0.0770027287
,,0.9,0.0711878773
,,2.06,0.0701306316
,,2.88,0.0799101544
,,3.65,0.0719808116
,,4.51,0.079645843
,,6.2,0.0820246458
,,8.52,0.0838748258
,,10.35,0.0862536286
,,15.71,0.0857250057
,,19.45,0.0809674001
,,40.17,0.0997335113
,,54.3,0.1100416569
,,75.65,0.118763934
,,83.11,0.1076628541
,,98.44,
,,108.09,0.1079271655
,,148.24,0.1031695598
,,193.62,0.1060769855
,,220,0.1036981827
,,280.4,0.0999978227
,,375.3,0.1015836913
,,395.7,0.1039624941
,,413.6,0.1023766256
15-06-2015,1,0,
,,0,0.0631132758
,,0,0.0613121835
,,0,0.0642389585
,,1.15,0.0590608181
,,2.61,0.0628881392
,,5.34,0.0664903238
,,8.31,0.0680662796
,,11.15,0.0757209218
,,16.52,0.0833755641
,,24.26,0.0827001545
,,33.55,0.0944072544
,,47.52,0.0865274756
,,67.58,0.1425864732
,,92.33,0.0973340294
,,117.33,0.137858606
,,148.81,0.1178214542
,,173.6,0.1076903101
,,190.24,0.156319802
,,218.9,0.1648749904
,,270.9,0.1428116098
,,315,0.159246577
,,342.3,0.1216487753
,,415.8,0.147089204
,,507.5,0.1099416754
,,604.2,0.1556443924
,,746.1,0.1234498676
,,1142.7,0.1022870332
15-06-2015,5,0,0.0797169173
,,0,0.0695854076
,,0,0.0705278737
,,0,0.0709991067
,,0.92,0.0724128057
,,2.07,0.0794813008
,,3.55,0.0773607523
,,6.24,0.0825443154
,,9.87,0.0783032183
,,14.37,0.086078563
,,20.87,0.088434728
,,30.89,0.0950319901
,,41.96,0.0816018494
,,69.07,0.1244840532
,,88.27,0.1485169366
,,104.45,0.1350867959
,,133.07,0.113645694
,,159.71,0.1296676163
,,173.29,0.1251909027
,,192.03,0.1336730969
,,218.4,0.1223635046
,,233.5,0.1390922765
,,301.3,
,,349.1,0.1480457036
,,406.5,
,,454.9,
,,683,0.1438046066
,,1000.7,
15-06-2015,10,0,0.0818250466
,,0,0.0838558647
,,0,0.0772557058
,,0,0.0785249671
,,0.82,0.0762402967
,,1.89,0.0777634103
,,3.41,0.0808096375
,,6.32,0.0841097169
,,9.04,
,,12.05,0.0863943873
,,15.73,0.0988331483
,,25.05,0.1127950228
,,40.7,0.1211721475
,,61.28,0.1287877155
,,70,0.1234568179
,,76.85,0.1424957378
,,96.23,0.1432572945
,,110.32,0.1620423621
,,130.84,0.1409726242
,,146.9,0.1303108291
,,208.7,0.1653424416
,,231.4,0.1838736569
,,253.5,
,,309.8,0.160011544
,,366.9,
,,473.9,0.1681348165
,,754,0.1848890659
,,959.3,0.1265030451
15-06-2015,20,0,0.0873008443
,,0,0.0904771705
,,0.01,0.0933647398
,,0.01,0.0939422536
,,0.42,0.0870120874
,,0.84,0.0945197675
,,1.81,0.0916321982
,,2.63,0.0835470042
,,3.98,0.0919209551
,,4.8,0.0913434413
,,5.83,0.092498469
,,8.2,0.0910546843
,,11.08,0.0933647398
,,14.48,0.1052037738
,,22.28,0.108091343
,,44.23,0.1462072574
,,51.45,0.1193528632
,,67.54,0.132058168
,,81.02,0.1488060698
,,98.52,0.1646877007
,,114.33,0.1973172335
,,154.93,0.1505386113
,,199.93,0.1537149375
,,226.1,0.1450522297
,,315.7,0.16757527
,,422.4,0.2146426491
,,622.4,0.1779705194
,,1016.5,0.2599774867
15-06-2015,40,0,0.083551168
